SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Outdegree,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
6633,3.99922753,2.90E-07,0.25004829,0,2,12,2,1,FALSE,گونهام,131.5,2,0,1,0,0.85138149,FALSE,0,گونهام,427,0.51176471
6634,3.11312334,0,0.32122081,0,2,11,2,1,FALSE,زآتش,2671,2,0,1,1,0.8758988,FALSE,0,زآتش,0,0
6635,3.17011415,5.00E-07,0.31544605,0.66666667,4,11,4,2,FALSE,سیمبری,729,4,0,2,0,0.87402907,FALSE,0,سیمبری,3976,0.3051486
6636,3.99424991,0,0.2503599,0,1,12,1,0,FALSE,صوف,7,1,0,1,0,0.81770972,FALSE,0,صوف,0,0
6637,3.87717792,1.27E-06,0.25791955,0,2,12,2,1,FALSE,برقص,1384,2,0,1,0,0.87616511,FALSE,0,برقص,8802,0.51203258
6638,3.51969788,8.42E-06,0.28411529,0.12878788,12,12,12,6,FALSE,مجمر,284.8333333,12,0,6,0,0.87491678,FALSE,0,مجمر,32354,0.1155303
6639,3.09930478,3.62E-06,0.322653,0.16666667,6,11,6,3,FALSE,بنواز,501.8333333,6,0,3,0,0.87740235,FALSE,0,بنواز,3301,0.17764789
6640,3.33233199,0,0.30009015,1,2,11,2,1,FALSE,زرش,1991,2,0,1,0,0.88081447,FALSE,0,زرش,0,0.59291245
6641,3.45197837,2.55E-06,0.28968895,0.16666667,4,11,4,2,FALSE,خاکش,492,4,0,2,1,0.86634487,FALSE,0,خاکش,2544,0.36500866
6642,0,0,0,0,1,0,1,1,FALSE,درگیر,115,1,0,0,0,0.84187195,FALSE,0,درگیر,0,0
6643,3.62861557,7.90E-07,0.2755872,0.05,5,11,5,3,FALSE,برگیر,159.4,5,0,2,0,0.86021971,FALSE,0,برگیر,3383,0.22116992
6644,3.25525706,1.67E-06,0.3071954,0.25,4,11,4,2,FALSE,زنند,453.25,4,0,2,0,0.86957945,FALSE,0,زنند,2463,0.25915332
6645,0,0,0,0,1,0,1,1,FALSE,کبیر,2671,1,0,0,0,0.8758988,FALSE,0,کبیر,0,0
6646,3.11303751,0,0.32122967,1,2,11,2,1,FALSE,صغیر,1370,2,0,1,0,0.87616511,FALSE,0,صغیر,0,0.50778354
6647,0,0,0,0,1,0,1,1,FALSE,بمیر,2671,1,0,0,0,0.8758988,FALSE,0,بمیر,0,0
6648,3.30598232,2.00E-06,0.30248196,0.66666667,4,11,4,2,FALSE,خوشاب,845,4,0,2,1,0.87208167,FALSE,0,خوشاب,19166,0.40959767
6649,4.09243842,1.14E-06,0.2443531,0,2,12,2,1,FALSE,قدحم,660,2,0,1,0,0.86580115,FALSE,0,قدحم,2598,0.50305344
6650,4.94112093,8.07E-05,0.20238323,0,2,13,2,1,FALSE,رضاست,4,2,0,1,0,0.80260763,FALSE,0,رضاست,81312,0.5
6651,5.94069179,7.62E-05,0.16833056,0,2,14,2,1,FALSE,وفق,845,2,0,1,0,0.86878606,FALSE,0,وفق,140233,0.5
6652,3.8544331,1.00E-07,0.25944152,0,2,11,2,1,FALSE,موافق,129,2,0,1,0,0.85001664,FALSE,0,موافق,141,0.52674897
